Surname,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,LogAge,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male
Palermo,657,37,0,163607.18,1,0,1,44203.55,0,3.6375861597263857,0,0,1,1,0
Ballard,604,25,5,157780.84,2,1,1,58426.81,0,3.258096538021482,0,1,0,1,0
Wallace,519,36,9,0.0,2,0,1,145562.4,0,3.6109179126442243,1,0,0,0,1
Cavenagh,735,21,1,178718.19,2,1,0,22388.0,0,3.091042453358316,1,0,0,1,0
Hu,664,55,8,0.0,2,1,1,139161.64,0,4.02535169073515,1,0,0,0,1
Read,678,32,9,0.0,1,1,1,148210.64,0,3.4965075614664802,1,0,0,1,0
Bushell,757,33,5,77253.22,1,0,1,194239.63,0,3.5263605246161616,0,0,1,0,1
Postle,416,41,10,122189.66,2,1,0,98301.61,0,3.7376696182833684,0,1,0,1,0
Buley,665,34,1,96645.54,2,0,0,171413.66,0,3.5553480614894135,1,0,0,1,0
Leonard,777,32,2,0.0,1,1,0,136458.19,1,3.4965075614664802,1,0,0,1,0
Mills,543,36,3,0.0,2,0,0,26019.59,0,3.6109179126442243,1,0,0,1,0
Onyeorulu,506,34,4,90307.62,1,1,1,159235.29,0,3.5553480614894135,1,0,0,1,0
Beit,493,46,4,0.0,2,1,0,1907.66,0,3.8501476017100584,1,0,0,1,0
Ndukaku,652,75,10,0.0,2,1,1,114675.75,0,4.330733340286331,0,0,1,1,0
Gant,750,22,3,121681.82,1,1,0,128643.35,1,3.1354942159291497,0,0,1,0,1
Rowley,729,30,9,0.0,2,1,0,151869.35,0,3.4339872044851463,1,0,0,0,1
Sharpe,646,46,4,0.0,3,1,0,93251.42,1,3.8501476017100584,1,0,0,1,0
Osborne,635,28,3,81623.67,2,1,1,156791.36,0,3.367295829986474,0,1,0,1,0
Heap,647,44,5,0.0,3,1,1,174205.22,1,3.8066624897703196,0,0,1,1,0
Ritchie,808,45,7,118626.55,2,1,0,147132.46,0,3.828641396489095,1,0,0,0,1
Cole,524,36,10,0.0,2,1,0,109614.57,0,3.6109179126442243,1,0,0,1,0
Capon,769,29,8,0.0,2,1,1,172290.61,0,3.4011973816621555,1,0,0,0,1
Capon,730,42,4,0.0,2,0,1,85982.47,0,3.7612001156935624,0,0,1,0,1
Fiorentini,515,35,10,176273.95,1,0,1,121277.78,0,3.58351893845611,0,0,1,0,1
Graham,773,41,9,102827.44,1,0,1,64595.25,0,3.7376696182833684,0,0,1,0,1
Yuille,814,29,8,97086.4,2,1,1,197276.13,0,3.4011973816621555,0,1,0,0,1
Allard,710,22,8,0.0,2,0,0,99645.04,0,3.1354942159291497,0,0,1,0,1
Fanucci,413,34,9,0.0,2,0,0,6534.18,0,3.5553480614894135,1,0,0,0,1
Fu,665,40,6,0.0,1,1,1,161848.03,0,3.713572066704308,1,0,0,1,0
Hung,623,44,6,0.0,2,0,0,167162.43,0,3.8066624897703196,1,0,0,1,0
Hung,738,31,9,82674.15,1,1,0,41970.72,0,3.4657359027997265,1,0,0,0,1
Bradley,528,36,7,0.0,2,1,0,60536.56,0,3.6109179126442243,0,0,1,0,1
Dunbabin,670,65,1,0.0,1,1,1,177655.68,1,4.189654742026425,0,0,1,1,0
Mauldon,622,46,4,107073.27,2,1,1,30984.59,1,3.8501476017100584,0,0,1,1,0
Stiger,582,32,1,88938.62,1,1,1,10054.53,0,3.4965075614664802,0,1,0,0,1
Parsons,785,36,2,99806.85,1,0,1,36976.52,0,3.6109179126442243,0,1,0,1,0
Walkom,605,33,5,150092.8,1,0,0,71862.79,0,3.5263605246161616,0,0,1,0,1
T'ang,479,35,9,92833.89,1,1,0,99449.86,1,3.58351893845611,0,1,0,0,1
Eremenko,685,30,3,90536.81,1,0,1,63082.88,0,3.4339872044851463,0,1,0,0,1
Rowntree,538,39,7,108055.1,2,1,0,27231.26,0,3.6888794541139363,0,1,0,0,1
Thorpe,562,42,2,100238.35,1,0,0,86797.41,0,3.7612001156935624,1,0,0,0,1
Chiemela,675,36,9,106190.55,1,0,1,22994.32,0,3.6109179126442243,0,0,1,0,1
Fanucci,721,28,9,154475.54,2,0,1,101300.94,1,3.367295829986474,0,1,0,0,1
Ko,628,30,9,132351.29,2,1,1,74169.13,0,3.4339872044851463,0,1,0,1,0
Welch,668,37,6,167864.4,1,1,0,115638.29,0,3.6375861597263857,0,1,0,1,0
Duncan,506,41,1,0.0,2,1,0,31766.3,0,3.7376696182833684,1,0,0,1,0
Chidozie,524,31,8,107818.63,1,1,0,199725.39,1,3.4657359027997265,0,1,0,1,0
Wu,699,34,4,185173.81,2,1,0,120834.48,0,3.5553480614894135,0,1,0,0,1
Culbreth,828,34,8,129433.34,2,0,0,38131.77,0,3.5553480614894135,1,0,0,0,1
Kennedy,674,39,6,120193.42,1,0,0,100130.95,0,3.6888794541139363,0,0,1,0,1
Cameron,656,39,6,0.0,2,1,0,141069.88,0,3.6888794541139363,1,0,0,1,0
Calabresi,684,48,10,126384.42,1,1,1,198129.36,0,3.8918202981106265,0,1,0,1,0
Zetticci,625,28,3,0.0,1,0,0,183646.41,0,3.367295829986474,1,0,0,1,0
Fuller,432,42,9,152603.45,1,1,0,110265.24,1,3.7612001156935624,1,0,0,0,1
MacDonald,549,52,1,0.0,1,0,1,8636.05,1,3.970291913552122,1,0,0,1,0
Piccio,625,56,0,148507.24,1,1,0,46824.08,1,4.04305126783455,0,1,0,0,1
Kennedy,828,41,7,0.0,2,1,0,171378.77,0,3.7376696182833684,1,0,0,1,0
Fernie,770,24,9,101827.07,1,1,0,167256.35,0,3.2188758248682006,1,0,0,0,1
He,758,34,3,0.0,2,1,1,124226.16,0,3.5553480614894135,1,0,0,1,0
Kaodilinakachukwu,795,33,9,130862.43,1,1,1,114935.21,0,3.5263605246161616,0,1,0,1,0
Cocci,687,38,9,122570.87,1,1,1,35608.88,0,3.6635616461296463,1,0,0,0,1
Alekseeva,686,25,1,0.0,2,0,1,16459.37,0,3.258096538021482,1,0,0,0,1
Chinweike,789,39,7,124828.46,2,1,1,124411.08,0,3.6888794541139363,0,1,0,0,1
Arthur,589,50,5,144895.05,2,1,1,34941.23,0,3.9318256327243257,0,1,0,1,0
Li,461,34,5,63663.93,1,0,1,167784.28,0,3.5553480614894135,0,1,0,1,0
Ma,637,40,2,133463.1,1,0,1,93165.34,0,3.713572066704308,1,0,0,0,1
Chia,584,48,2,213146.2,1,1,0,75161.25,1,3.8918202981106265,0,0,1,1,0
Vasin,579,35,1,129490.36,2,0,1,8590.83,1,3.58351893845611,0,0,1,1,0
Groves,756,44,10,137452.09,1,1,0,189543.9,0,3.8066624897703196,0,1,0,0,1
Tien,663,34,7,0.0,2,1,1,180427.24,0,3.5553480614894135,1,0,0,0,1
Forwood,682,43,5,125851.93,1,1,1,193318.33,0,3.784189633918261,1,0,0,1,0
Greeves,793,52,2,0.0,1,1,0,159123.82,1,3.970291913552122,0,0,1,0,1
Taylor,691,31,5,40915.55,1,1,0,126213.84,1,3.4657359027997265,1,0,0,1,0
Madukwe,485,21,5,113157.22,1,1,1,54141.5,0,3.091042453358316,0,0,1,1,0
Bennelong,635,29,8,138296.94,2,1,0,141075.51,0,3.4011973816621555,0,0,1,1,0
Olisanugo,650,37,5,106967.18,1,0,0,24495.03,0,3.6375861597263857,1,0,0,0,1
Chukwufumnanya,735,44,9,120681.63,1,1,0,74836.34,0,3.8066624897703196,1,0,0,0,1
Harris,416,32,0,0.0,2,0,1,878.87,0,3.4965075614664802,1,0,0,0,1
Morgan,754,32,7,0.0,2,1,0,89520.75,0,3.4965075614664802,0,0,1,1,0
Alexeeva,535,48,9,0.0,1,1,0,149892.79,1,3.8918202981106265,1,0,0,1,0
Metcalfe,716,42,8,0.0,2,1,0,180800.42,0,3.7612001156935624,0,0,1,0,1
Humphries,539,37,2,127609.59,1,1,0,98646.22,0,3.6375861597263857,1,0,0,0,1
Milne,614,43,6,0.0,2,1,1,109041.53,0,3.784189633918261,1,0,0,1,0
Chou,706,57,7,0.0,1,1,0,17941.16,1,4.060443010546419,0,0,1,0,1
Li,758,33,7,0.0,2,0,0,82996.47,0,3.5263605246161616,1,0,0,1,0
Clayton,586,28,2,0.0,2,1,1,92067.35,0,3.367295829986474,0,0,1,1,0
Maclean,646,73,6,97259.25,1,0,1,104719.66,0,4.304065093204169,1,0,0,1,0
Chigolum,631,33,4,123246.7,1,0,0,112687.57,0,3.5263605246161616,0,1,0,1,0
Wilkinson,717,22,6,101060.25,1,0,1,84699.56,0,3.1354942159291497,0,0,1,1,0
Wei,684,30,2,0.0,2,1,0,83473.82,0,3.4339872044851463,1,0,0,0,1
Treacy,800,49,7,108007.36,1,0,0,47125.11,0,3.912023005428146,1,0,0,1,0
Hu,721,36,2,0.0,2,1,1,106977.8,0,3.6109179126442243,0,0,1,1,0
Taverner,683,29,0,133702.89,1,1,0,55582.54,1,3.4011973816621555,0,0,1,0,1
Sherman,660,31,9,125189.75,2,1,1,139874.43,0,3.4657359027997265,0,1,0,0,1
Taubman,704,24,7,113034.22,1,1,0,162503.48,1,3.2188758248682006,0,1,0,1,0
Robinson,615,41,9,109013.23,1,1,0,196499.96,0,3.7376696182833684,0,0,1,1,0
Pinto,667,39,2,0.0,2,1,0,40721.24,1,3.6888794541139363,0,0,1,1,0
Wood,682,24,9,57929.81,2,0,0,53134.3,0,3.2188758248682006,0,1,0,0,1
Hawkins,484,29,4,130114.39,1,1,0,164017.89,0,3.4011973816621555,1,0,0,1,0
Sun,628,27,5,95826.49,2,1,0,155996.96,0,3.332204510175204,0,1,0,0,1
Yost,480,44,10,129608.57,1,1,0,5472.7,1,3.8066624897703196,0,1,0,0,1
Ting,578,30,4,169462.09,1,1,0,112187.11,0,3.4339872044851463,1,0,0,0,1
Rowe,512,40,5,0.0,2,1,1,146457.83,0,3.713572066704308,1,0,0,0,1
Fu,484,35,7,133868.21,1,1,1,27286.1,0,3.58351893845611,0,0,1,1,0
Ho,510,30,0,0.0,2,1,1,130553.47,0,3.4339872044851463,1,0,0,1,0
Okechukwu,606,36,5,190479.48,2,0,0,179351.89,0,3.6109179126442243,0,1,0,0,1
Campbell,597,40,8,101993.12,1,0,1,94774.12,0,3.713572066704308,0,0,1,1,0
Ashbolt,754,55,3,161608.81,1,1,0,8080.85,1,4.02535169073515,0,1,0,1,0
Rozier,850,45,2,122311.21,1,1,1,19482.5,0,3.828641396489095,0,0,1,1,0
Hsia,510,65,2,0.0,2,1,1,48071.61,0,4.189654742026425,1,0,0,0,1
Ogbonnaya,778,45,1,162150.42,2,1,0,174531.27,0,3.828641396489095,0,1,0,1,0
T'ang,636,42,2,0.0,2,1,1,55470.78,0,3.7612001156935624,1,0,0,0,1
Cocci,804,50,4,0.0,1,1,1,8546.87,1,3.9318256327243257,1,0,0,1,0
Chang,514,32,8,0.0,2,1,0,95857.18,0,3.4965075614664802,1,0,0,0,1
T'ao,730,39,1,99010.67,1,1,0,194945.8,0,3.6888794541139363,1,0,0,1,0
Ford,525,37,0,0.0,1,0,1,131521.72,0,3.6375861597263857,0,0,1,1,0
Marshall,616,30,5,0.0,2,0,1,196108.51,0,3.4339872044851463,0,0,1,0,1
Tsai,687,34,7,111388.18,2,1,0,148564.76,0,3.5553480614894135,0,1,0,1,0
Onwumelu,715,41,8,56214.85,2,0,0,92982.61,1,3.7376696182833684,1,0,0,1,0
Graham,512,36,3,84327.77,2,1,0,17675.36,0,3.6109179126442243,1,0,0,1,0
Golovanov,479,40,1,0.0,2,0,0,114996.43,0,3.713572066704308,1,0,0,0,1
Potts,601,32,8,93012.89,1,1,0,86957.42,0,3.4965075614664802,1,0,0,0,1
Crawford,580,29,9,61710.44,2,1,0,128077.8,0,3.4011973816621555,0,0,1,0,1
Aleshire,807,35,3,174790.15,1,1,1,600.36,0,3.58351893845611,1,0,0,0,1
Moran,616,32,6,0.0,2,1,1,43001.46,0,3.4965075614664802,0,0,1,1,0
Samsonova,721,37,3,107720.64,1,1,1,158591.12,0,3.6375861597263857,0,1,0,0,1
Jenkins,501,57,10,0.0,2,1,1,47847.19,0,4.060443010546419,1,0,0,0,1
Volkov,521,35,6,96423.84,1,1,0,10488.44,0,3.58351893845611,1,0,0,0,1
Chiemezie,850,30,2,141040.01,1,1,1,5978.2,0,3.4339872044851463,0,0,1,0,1
Jude,759,42,4,105420.18,1,0,1,121409.06,0,3.7612001156935624,1,0,0,0,1
He,516,50,5,0.0,1,0,1,146145.93,1,3.9318256327243257,0,0,1,0,1
Onuora,711,38,2,129022.06,2,1,1,14374.86,1,3.6635616461296463,1,0,0,1,0
Ginikanwa,512,33,3,176666.62,1,1,0,94670.77,0,3.5263605246161616,0,0,1,0,1
Ku,550,37,3,0.0,1,1,1,179670.31,0,3.6375861597263857,1,0,0,0,1
McDonald,608,41,3,89763.84,1,0,0,199304.74,1,3.7376696182833684,0,0,1,1,0
Collins,618,34,5,134954.53,1,1,1,151954.39,0,3.5553480614894135,1,0,0,0,1
Hackett,643,45,5,0.0,1,1,0,142513.5,1,3.828641396489095,1,0,0,0,1
Dike,671,45,2,106376.85,1,0,1,158264.62,0,3.828641396489095,1,0,0,0,1
Trevisano,689,33,2,161814.64,2,1,0,169381.9,0,3.5263605246161616,0,1,0,0,1
Tan,603,31,8,0.0,2,1,1,169915.02,0,3.4657359027997265,1,0,0,0,1
Glassman,620,41,9,0.0,2,0,0,88852.47,0,3.7376696182833684,1,0,0,1,0
Miller,676,34,1,63095.01,1,1,1,40645.81,0,3.5553480614894135,1,0,0,1,0
Kornilova,572,26,4,118287.01,2,0,0,60427.3,0,3.295836866004329,0,1,0,0,1
Watson,668,47,7,106854.21,1,0,1,157959.02,1,3.8712010109078907,0,1,0,0,1
Marchesi,695,46,7,49512.55,1,1,0,133007.34,0,3.8501476017100584,1,0,0,0,1
Millar,730,33,9,0.0,2,0,0,176576.62,0,3.5263605246161616,0,0,1,1,0
Shih,807,43,1,105799.32,2,1,0,34888.04,1,3.784189633918261,1,0,0,0,1
Fuller,592,54,8,0.0,1,1,1,28737.71,1,4.007333185232471,1,0,0,0,1
Hay,726,31,9,114722.05,2,1,1,98178.57,0,3.4657359027997265,1,0,0,1,0
Yang,514,30,7,0.0,1,0,1,125010.24,0,3.4339872044851463,0,0,1,0,1
McIntyre,567,42,2,0.0,2,1,1,167984.61,0,3.7612001156935624,1,0,0,0,1
Stevenson,850,33,10,0.0,1,1,0,4861.72,1,3.5263605246161616,1,0,0,0,1
Poole,671,45,6,99564.22,1,1,1,108872.45,1,3.828641396489095,0,1,0,0,1
Bagley,670,37,4,170557.91,2,1,0,198252.88,0,3.6375861597263857,1,0,0,0,1
Ch'ien,694,30,9,0.0,2,1,1,26960.31,0,3.4339872044851463,1,0,0,1,0
Cattaneo,547,39,6,74596.15,3,1,1,85746.52,1,3.6888794541139363,0,1,0,1,0
O'Sullivan,751,50,2,96888.39,1,1,0,77206.25,1,3.9318256327243257,0,1,0,0,1
Lucas,594,29,3,130830.22,1,1,0,61048.53,0,3.4011973816621555,0,1,0,1,0
Ringrose,673,72,1,0.0,2,0,1,111981.19,0,4.290459441148391,1,0,0,0,1
Freeman,610,40,0,0.0,2,1,0,62232.6,0,3.713572066704308,1,0,0,0,1
Sergeyev,512,37,1,0.0,2,0,1,156105.03,0,3.6375861597263857,1,0,0,1,0
Fiore,767,20,3,119714.25,2,0,1,150135.38,0,3.044522437723423,0,1,0,0,1
Smith,585,67,5,113978.97,2,0,1,93146.11,0,4.219507705176107,1,0,0,1,0
Dumetochukwu,763,42,6,100160.75,1,1,0,33462.94,1,3.7612001156935624,0,1,0,0,1
Pacheco,712,29,2,0.0,1,1,1,144375.0,0,3.4011973816621555,1,0,0,1,0
Synnot,539,43,3,116220.5,3,1,0,55803.96,1,3.784189633918261,0,1,0,1,0
Johnston,668,46,2,0.0,3,1,0,89048.46,1,3.8501476017100584,1,0,0,1,0
Stevens,703,28,2,81173.83,2,0,1,162812.16,0,3.367295829986474,1,0,0,0,1
Grant,662,38,4,0.0,2,1,0,136259.65,0,3.6635616461296463,0,0,1,0,1
Tsao,725,39,5,116803.8,1,1,0,124052.97,0,3.6888794541139363,0,1,0,1,0
Barnes,703,37,8,105961.68,2,0,1,74158.8,0,3.6375861597263857,1,0,0,0,1
McIntosh,659,67,6,117411.6,1,1,1,45071.09,1,4.219507705176107,0,1,0,0,1
Madison,523,34,7,0.0,2,1,0,62030.06,0,3.5553480614894135,0,0,1,0,1
Ifesinachi,635,40,10,123497.58,1,1,0,131953.23,1,3.713572066704308,1,0,0,1,0
Glazkov,772,26,7,152400.51,2,1,0,79414.0,0,3.295836866004329,0,1,0,0,1
Dimauro,545,26,1,0.0,2,1,1,199638.56,0,3.295836866004329,1,0,0,1,0
Wieck,634,24,8,103097.85,1,1,1,157577.29,0,3.2188758248682006,0,1,0,0,1
Liao,739,54,8,126418.14,1,1,0,134420.75,1,4.007333185232471,0,1,0,0,1
Hughes,771,36,5,77846.9,1,0,0,99805.99,0,3.6109179126442243,0,1,0,1,0
Morrison,587,34,1,0.0,2,1,1,97932.68,0,3.5553480614894135,0,0,1,1,0
Matveyeva,681,79,0,0.0,2,0,1,170968.99,0,4.382026634673881,1,0,0,1,0
Ku,544,37,2,79731.91,1,1,1,57558.95,0,3.6375861597263857,0,1,0,0,1
Cheatham,696,28,8,0.0,1,0,0,176713.47,0,3.367295829986474,0,0,1,0,1
Yao,766,41,0,0.0,2,0,1,34283.23,0,3.7376696182833684,0,0,1,0,1
Kirkland,727,34,10,0.0,2,1,1,198637.34,0,3.5553480614894135,1,0,0,0,1
Rose,671,34,6,37266.67,2,0,0,156917.12,0,3.5553480614894135,0,1,0,1,0
Jess,693,30,6,127992.25,1,1,1,50457.2,0,3.4339872044851463,1,0,0,1,0
Welch,850,38,3,54901.01,1,1,1,140075.55,0,3.6635616461296463,0,1,0,0,1
Ifeajuna,732,42,9,108748.08,2,1,1,65323.11,0,3.7612001156935624,0,1,0,0,1
Morton,726,48,6,99906.19,1,1,0,64323.24,0,3.8918202981106265,0,0,1,1,0
Rossi,557,32,6,184686.41,2,1,0,14956.44,0,3.4965075614664802,1,0,0,1,0
Reppert,682,26,0,110654.02,1,0,1,111879.21,0,3.295836866004329,1,0,0,1,0
Kang,738,31,9,79019.8,1,1,1,18606.23,0,3.4657359027997265,0,0,1,0,1
Ch'iu,531,36,9,99240.51,1,1,0,123137.01,0,3.6109179126442243,0,0,1,1,0
Wallis,498,34,2,0.0,2,1,1,148528.24,0,3.5553480614894135,1,0,0,0,1
Clark,651,36,7,0.0,2,1,0,13898.31,0,3.6109179126442243,1,0,0,0,1
Fielding,549,39,7,0.0,1,0,0,81259.25,1,3.6888794541139363,0,0,1,1,0
Zetticci,791,35,7,52436.2,1,1,0,161051.75,0,3.58351893845611,0,1,0,1,0
Dulhunty,650,41,9,0.0,2,0,1,191599.67,0,3.7376696182833684,0,0,1,0,1
Bevington,733,34,3,100337.96,3,1,0,48559.19,1,3.5553480614894135,0,1,0,0,1
Boyle,811,34,1,149297.19,2,1,1,186339.74,0,3.5553480614894135,0,1,0,1,0
Newton,707,30,8,0.0,2,1,0,33159.37,0,3.4339872044851463,1,0,0,0,1
Bowman,712,28,4,145605.44,1,0,1,93883.53,0,3.367295829986474,0,1,0,0,1
Dubinina,706,37,7,0.0,2,1,1,110899.3,0,3.6375861597263857,0,0,1,1,0
Toscani,756,62,3,0.0,1,1,1,11199.04,1,4.143134726391533,1,0,0,0,1
Chiazagomekpere,777,53,10,0.0,2,1,0,189992.97,0,3.9889840465642745,1,0,0,1,0
Allen,646,35,6,84026.86,1,0,1,164255.69,0,3.58351893845611,1,0,0,0,1
K'ung,714,46,1,0.0,1,1,0,152167.79,1,3.8501476017100584,1,0,0,0,1
Wilsmore,782,39,8,0.0,2,1,1,33949.67,0,3.6888794541139363,1,0,0,0,1
Hargreaves,775,29,10,0.0,2,1,1,68143.93,0,3.4011973816621555,0,0,1,0,1
Huang,479,35,4,138718.92,1,1,1,47251.79,1,3.58351893845611,0,1,0,0,1
Ch'ien,807,42,7,118274.71,1,1,1,25885.72,0,3.7612001156935624,1,0,0,0,1
Wallwork,799,22,8,174185.98,2,0,1,192633.85,0,3.1354942159291497,1,0,0,1,0
Chu,675,40,7,113208.86,2,1,0,34577.36,0,3.713572066704308,1,0,0,0,1
Kang,602,29,5,103907.28,1,1,0,161229.84,0,3.4011973816621555,0,0,1,0,1
Davidson,475,32,8,119023.28,1,1,0,100816.29,0,3.4965075614664802,1,0,0,1,0
O'Donnell,744,26,5,166297.89,1,1,1,181694.44,0,3.295836866004329,0,0,1,1,0
Nnachetam,588,34,10,0.0,2,1,0,79078.91,0,3.5553480614894135,0,0,1,0,1
